fileName,object,answer
012/pot26.jpg,dinner knife,pot
012/pot26.jpg,dinner knife,pot
012/pot26.jpg,dinner knife,pot
012/pot24.jpg,dinner knife,pot
012/pot24.jpg,dinner knife,pot
012/pot24.jpg,dinner knife,pot
012/pot24.jpg,dinner knife,pot
012/pot1.jpg,dinner knife,pot
012/pot1.jpg,dinner knife,pot
012/pot1.jpg,dinner knife,pot
012/pot1.jpg,dinner knife,pot
012/pot28.jpg,dinner knife,pot
012/pot28.jpg,dinner knife,pot
012/pot11.jpg,dinner knife,pot
012/pot11.jpg,dinner knife,pot
007/breadknife12.jpg,dinner knife,bread knife
007/breadknife12.jpg,dinner knife,bread knife
007/breadknife12.jpg,dinner knife,bread knife
007/breadknife12.jpg,dinner knife,bread knife
007/breadknife11.jpg,dinner knife,bread knife
007/breadknife11.jpg,dinner knife,bread knife
007/breadknife11.jpg,dinner knife,bread knife
007/breadknife11.jpg,dinner knife,bread knife
007/breadknife16.jpg,spatula,bread knife
007/breadknife19.jpg,spatula,bread knife
007/breadknife9.jpg,dinner knife,bread knife
007/breadknife9.jpg,dinner knife,bread knife
007/breadknife22.jpg,dinner knife,bread knife
007/breadknife22.jpg,dinner knife,bread knife
009/ladle30.jpg,dinner knife,ladle
009/ladle30.jpg,dinner knife,ladle
009/ladle30.jpg,dinner knife,ladle
009/ladle30.jpg,dinner knife,ladle
009/ladle51.jpg,spatula,ladle
009/ladle40.jpg,dinner knife,ladle
009/ladle40.jpg,dinner knife,ladle
009/ladle40.jpg,dinner knife,ladle
009/ladle40.jpg,dinner knife,ladle
009/ladle40.jpg,dinner knife,ladle
009/ladle2.jpg,dinner knife,ladle
009/ladle2.jpg,dinner knife,ladle
009/ladle2.jpg,dinner knife,ladle
009/ladle15.jpg,dinner knife,ladle
009/ladle15.jpg,dinner knife,ladle
009/ladle15.jpg,dinner knife,ladle
008/kitchenknife6.jpg,dinner knife,knife
008/kitchenknife6.jpg,dinner knife,knife
008/kitchenknife6.jpg,dinner knife,knife
008/kitchenknife32.jpg,dinner knife,knife
008/kitchenknife32.jpg,dinner knife,knife
008/kitchenknife32.jpg,dinner knife,knife
008/kitchenknife32.jpg,dinner knife,knife
008/kitchenknife32.jpg,dinner knife,knife
008/kitchenknife36.jpg,dinner knife,knife
008/kitchenknife36.jpg,dinner knife,knife
008/kitchenknife36.jpg,dinner knife,knife
008/kitchenknife36.jpg,dinner knife,knife
008/kitchenknife11.jpg,dinner knife,knife
008/kitchenknife11.jpg,dinner knife,knife
008/kitchenknife11.jpg,dinner knife,knife
008/kitchenknife11.jpg,dinner knife,knife
008/kitchenknife29.jpg,dinner knife,knife
008/kitchenknife29.jpg,dinner knife,knife
008/kitchenknife29.jpg,dinner knife,knife
008/kitchenknife29.jpg,dinner knife,knife
001/spatula22.jpg,dinner knife,spatula
001/spatula22.jpg,dinner knife,spatula
001/spatula22.jpg,dinner knife,spatula
001/spatula22.jpg,dinner knife,spatula
001/spatula19.jpg,dinner knife,spatula
001/spatula19.jpg,dinner knife,spatula
001/spatula19.jpg,dinner knife,spatula
001/spatula51.jpg,spatula,spatula
001/spatula15.jpg,dinner knife,spatula
001/spatula15.jpg,dinner knife,spatula
001/spatula15.jpg,dinner knife,spatula
001/spatula10.jpg,dinner knife,spatula
001/spatula10.jpg,dinner knife,spatula
006/woodenspoon17.jpg,dinner knife,wooden spoon
006/woodenspoon51.jpg,dinner knife,wooden spoon
006/woodenspoon51.jpg,dinner knife,wooden spoon
006/woodenspoon51.jpg,dinner knife,wooden spoon
006/woodenspoon51.jpg,dinner knife,wooden spoon
006/woodenspoon54.jpg,dinner knife,wooden spoon
006/woodenspoon54.jpg,dinner knife,wooden spoon
006/woodenspoon54.jpg,dinner knife,wooden spoon
006/woodenspoon25.jpg,dinner knife,wooden spoon
006/woodenspoon25.jpg,dinner knife,wooden spoon
006/woodenspoon36.jpg,dinner knife,wooden spoon
006/woodenspoon36.jpg,dinner knife,wooden spoon
006/woodenspoon36.jpg,dinner knife,wooden spoon
